Experiment;1;t;x;y;2;;;;3
;;893.5393;0.006439203;0.02607633;;;;;
;;896.8718;0.006175016;0.02620811;;;;;
;;900.2043;0.006245114;0.02608069;;;;;
;;903.5368;0.005989694;0.02605638;;;;;
;;906.8692;0.005893192;0.02618325;;;;;
;;910.2351;0.0061638;0.0262739;;;;;
;;913.5675;0.008790098;0.02593823;;;;;
;;916.9;0.009109779;0.02595913;;;;;
;;920.2325;0.006540082;0.02642189;;;;;
;;923.565;0.006259986;0.02647056;;;;;
;;926.8975;0.009053491;0.0259329;;;;;
;;930.23;0.006729225;0.02650348;;;;;
;;933.5625;0.007781288;0.02749626;;;;;
;;936.895;0.01020719;0.0270246;;;;;
;;940.2274;0.006234845;0.02661115;;;;;
;;943.5599;0.006041838;0.02664793;;;;;
;;946.8924;0.006095186;0.02681096;;;;;
;;950.2249;0.008652705;0.02709809;;;;;
;;953.5574;0.008798883;0.02711281;;;;;
;;956.8899;0.008706278;0.0270889;;;;;
;;960.2224;0.008640728;0.0273414;;;;;
;;963.5548;0.008479183;0.02733699;;;;;
;;966.8873;0.008606293;0.02736838;;;;;
;;970.2198;0.007906116;0.02736082;;;;;
;;973.5523;0.00638151;0.02739957;;;;;
;;976.8848;0.008904574;0.02767259;;;;;
;;980.2173;0.008703068;0.02766888;;;;;
;;983.5497;0.008977078;0.0278295;;;;;
;;986.8823;0.008798063;0.02796502;;;;;
;;990.2147;0.007580764;0.02806232;;;;;
;;993.5472;0.008762719;0.02796576;;;;;
;;996.8797;0.008977265;0.02814868;;;;;
;;1000.212;0.008604106;0.02822869;;;;;
;;1003.545;0.009483039;0.02829792;;;;;
;;1006.877;0.00947136;0.02829804;;;;;
;;1010.21;0.008310754;0.02836779;;;;;
;;1013.542;0.009116401;0.02829685;;;;;
;;1016.875;0.008385696;0.02865909;;;;;
;;1020.207;0.008364617;0.02866372;;;;;
;;1023.54;0.00951844;0.02850692;;;;;
;;1026.872;0.008359913;0.02866452;;;;;
;;1030.205;0.008143041;0.02866643;;;;;
;;1033.537;0.008075327;0.02879028;;;;;
;;1036.87;0.008422372;0.02883257;;;;;
;;1040.202;0.01106118;0.02882733;;;;;
;;1043.534;0.01017113;0.02892256;;;;;
;;1046.867;0.009836712;0.03037257;;;;;
;;1050.199;0.01266608;0.02906873;;;;;
;;1053.532;0.01013977;0.02921747;;;;;
;;1056.864;0.01083482;0.02924887;;;;;
;;1060.197;0.008344971;0.02926508;;;;;
;;1063.529;0.00832764;0.02925618;;;;;
;;1066.862;0.008634747;0.02943001;;;;;
;;1070.194;0.01011602;0.02952073;;;;;
;;1073.527;0.01036062;0.02952244;;;;;
;;1076.859;0.005633621;0.02942101;;;;;
;;1080.192;0.01266589;0.02934461;;;;;
;;1083.524;0.005534712;0.02954854;;;;;
;;1086.857;0.005443972;0.02953292;;;;;
;;1090.189;0.008588001;0.02971703;;;;;
;;1093.522;0.008695867;0.0297334;;;;;
;;1096.854;0.008808994;0.0298819;;;;;
;;1100.187;0.005550363;0.0297127;;;;;
;;1103.519;0.005431834;0.02985831;;;;;
;;1106.852;0.008513459;0.03001181;;;;;
;;1110.184;0.009799996;0.03099502;;;;;
;;1113.517;0.009635999;0.03110918;;;;;
;;1116.849;0.002383094;0.02954557;;;;;
;;1120.182;0.000831275;0.03120792;;;;;
;;1123.514;0.000846734;0.03122595;;;;;
;;1126.847;0.006311524;0.03107819;;;;;
;;1130.179;0.00419781;0.03123679;;;;;
;;1133.512;0.000405455;0.03119695;;;;;
;;1136.844;0.000946986;0.03123763;;;;;
;;1140.177;0.000329937;0.03120656;;;;;
;;1143.509;0.000708998;0.03123061;;;;;
;;1146.842;0.00024514;0.03120853;;;;;
;;1150.174;0.004096616;0.03111603;;;;;
;;1153.507;0.000478605;0.03121262;;;;;
;;1156.839;0.006102674;0.03092199;;;;;
;;1160.172;0.00631325;0.030931;;;;;
;;1163.504;0.006431577;0.03093986;;;;;
;;1166.836;0.006319372;0.03095362;;;;;
;;1170.169;0.00658083;0.03104663;;;;;
;;1173.501;0.006613211;0.03108266;;;;;
;;1176.834;0.006757083;0.03110012;;;;;
;;1180.166;0.00673088;0.03107079;;;;;
;;1183.499;0.006575418;0.03109273;;;;;
;;1186.831;0.003129243;0.03065252;;;;;
;;1190.164;0.006793867;0.03109091;;;;;
;;1193.496;0.006725352;0.03109287;;;;;
;;1196.829;0.006606514;0.03096083;;;;;
