Experiment;1;t;x;y;2;t;x;y;3;;;;
;;256.60169;0.0112;0.0156;;356.7090667;0.128727413;0.059826996;;;;;
;;259.93418;0.00885;0.0165;;360.0415556;0.128721477;0.059821664;;;;;
;;263.26667;0.0111;0.0152;;363.3740333;0.129285281;0.059980673;;;;;
;;266.59916;0.00733;0.0149;;366.7065222;0.129519294;0.060110708;;;;;
;;269.93165;0.00755;0.0151;;370.039;0.129547682;0.060213349;;;;;
;;273.26414;0.0074;0.0151;;373.3715556;0.130649025;0.060323789;;;;;
;;276.59663;0.011;0.015;;376.7039778;0.128818388;0.060448029;;;;;
;;279.92912;0.00717;0.0152;;380.0364556;0.129211774;0.060623164;;;;;
;;283.26161;0.00774;0.0153;;383.3689667;0.127599086;0.060741871;;;;;
;;286.5941;0.0126;0.0164;;386.7014333;0.127285755;0.060989695;;;;;
;;289.92659;0.0135;0.0167;;390.0339222;0.129861102;0.060827582;;;;;
;;293.25908;0.0134;0.0168;;393.3663889;0.130265136;0.060880821;;;;;
;;296.59157;0.00854;0.0153;;396.6988889;0.130270853;0.061002412;;;;;
;;299.92406;0.00777;0.0153;;400.0314111;0.129745863;0.061215683;;;;;
;;303.25655;0.00849;0.0153;;403.3638556;0.129387033;0.06116809;;;;;
;;306.58904;0.00906;0.0153;;406.6963556;0.129376021;0.061197201;;;;;
;;309.92153;0.0144;0.0162;;410.0288333;0.129718727;0.061342328;;;;;
;;313.25402;0.0126;0.0154;;413.3613222;0.129347706;0.061308544;;;;;
;;316.58651;0.0124;0.0155;;416.6938111;0.129867321;0.061272649;;;;;
;;319.919;0.014;0.0156;;420.0262889;0.130078676;0.061508799;;;;;
;;323.25149;0.0131;0.0156;;423.3587889;0.129870392;0.06147875;;;;;
;;326.58398;0.00721;0.0169;;426.6912444;0.130199784;0.061616111;;;;;
;;329.91647;0.00448;0.0172;;430.0237333;0.128627551;0.062002683;;;;;
;;333.24896;0.00487;0.0174;;433.3562667;0.130056792;0.06187284;;;;;
;;336.58145;0.00497;0.0173;;436.6887111;0.128878685;0.062030172;;;;;
;;339.91394;0.00522;0.0176;;440.0211889;0.12779395;0.062183387;;;;;
;;343.24643;0.012;0.0156;;443.3536889;0.129392725;0.061944907;;;;;
;;346.57892;0.0116;0.0164;;446.6861778;0.129957726;0.061989134;;;;;
;;349.91141;0.0106;0.0169;;450.0186667;0.129731101;0.06195762;;;;;
;;353.2439;0.0114;0.0166;;453.3511444;0.128875885;0.062423825;;;;;
;;356.57639;0.00951;0.0165;;456.6836667;0.129601022;0.062194605;;;;;
;;359.90888;0.00995;0.0167;;460.0162556;0.128331636;0.062496095;;;;;
;;363.24137;0.0096;0.0167;;463.3486556;0.128836479;0.062399057;;;;;
;;366.57386;0.00927;0.0171;;466.6810667;0.128809699;0.062386413;;;;;
;;369.90635;0.00708;0.0167;;470.0135667;0.129659202;0.062439759;;;;;
;;373.23884;0.0139;0.0175;;473.3460444;0.128938985;0.062550438;;;;;
;;376.57133;0.0101;0.017;;476.6785222;0.129145448;0.062668303;;;;;
;;379.90382;0.0101;0.0172;;480.0110556;0.129684117;0.062691822;;;;;
;;383.23631;0.0111;0.0176;;483.3435111;0.128662258;0.062767331;;;;;
;;386.5688;0.00968;0.0176;;486.6759889;0.129923271;0.062799429;;;;;
;;389.90129;0.00998;0.0176;;490.0085;0.12909158;0.062905702;;;;;
;;393.23378;0.00668;0.0176;;493.3409889;0.129047535;0.063134952;;;;;
;;396.56627;0.00375;0.0189;;496.6734556;0.129170769;0.063069673;;;;;
;;399.89876;0.00386;0.0177;;500.0059667;0.129020133;0.063131175;;;;;
;;403.23125;0.00379;0.0179;;503.3384222;0.129826066;0.063219579;;;;;
;;406.56374;0.00924;0.0188;;506.6709111;0.129424632;0.06318075;;;;;
;;409.89623;0.00604;0.0175;;510.0034;0.129892832;0.063218697;;;;;
;;413.22872;0.00337;0.0181;;513.3358667;0.130427209;0.063376366;;;;;
;;416.56121;0.00202;0.0185;;516.6683556;0.131829291;0.0634038;;;;;
;;419.8937;0.00744;0.0186;;520.0008556;0.129973925;0.06356524;;;;;
;;423.22619;0.00868;0.0183;;523.3333333;0.129761647;0.06357423;;;;;
;;426.55868;0.00214;0.0185;;526.6658222;0.129548842;0.063557064;;;;;
;;429.89117;0.00812;0.0184;;529.9983;0.130821182;0.063633708;;;;;
