Experiment;1;t;x;y;2;t;x;y;3;t;x;y;
;;1243.01873;0.00508;0.0322;;1343.424967;0.127736258;0.077747453;;675.2;0.127988513;0.044994541;
;;1246.35122;0.00844;0.0328;;1346.757156;0.127739801;0.077750728;;676.2666667;0.127910085;0.045053395;
;;1249.68371;0.00663;0.0325;;1350.089633;0.127731571;0.077747367;;677.3333333;0.127593172;0.045493722;
;;1253.0162;0.00661;0.0326;;1353.422133;0.127711202;0.077738854;;678.4;0.128134063;0.045263862;
;;1256.34869;0.00924;0.0331;;1356.7546;0.127725866;0.077755003;;679.4666667;0.128014327;0.045086299;
;;1259.68118;0.00844;0.033;;1360.087089;0.127322235;0.077820086;;680.5333333;0.127423808;0.045461935;
;;1263.01367;0.00787;0.0329;;1363.419589;0.127374405;0.077837584;;681.6;0.128002824;0.045130979;
;;1266.34616;0.00769;0.0329;;1366.752056;0.127400686;0.077846657;;682.6666667;0.127885412;0.045183675;
;;1269.67865;0.00711;0.0333;;1370.084556;0.12738069;0.077846157;;683.7333333;0.128005231;0.045298074;
;;1273.01114;0.00875;0.0333;;1373.417033;0.127384179;0.077864919;;684.8;0.128149588;0.045406167;
;;1276.34363;0.00784;0.0332;;1376.749544;0.126860402;0.077940956;;685.8666667;0.128024451;0.045371484;
;;1279.67612;0.00735;0.0331;;1380.081989;0.12699152;0.077952972;;686.9333333;0.128035825;0.045385251;
;;1283.00861;0.0077;0.0332;;1383.414556;0.126746952;0.078046412;;688;0.12802977;0.045410124;
;;1286.3411;0.00643;0.0331;;1386.747022;0.126650693;0.07805272;;689.0666667;0.128065345;0.045462566;
;;1289.67359;0.00813;0.0334;;1390.079444;0.126527744;0.078170349;;690.1333333;0.128020132;0.04546648;
;;1293.00608;0.00627;0.0334;;1393.411933;0.126836691;0.078188072;;691.2;0.128007831;0.045505816;
;;1296.33857;0.00626;0.0334;;1396.744422;0.126861424;0.078194309;;692.2666667;0.128082267;0.045508552;
;;1299.67106;0.00614;0.0335;;1400.076911;0.1277443;0.078233933;;693.3333333;0.127977804;0.045523424;
;;1303.00355;0.00619;0.0336;;1403.4094;0.127812919;0.078240986;;694.4;0.128121901;0.045571674;
;;1306.33604;0.00707;0.0338;;1406.741878;0.129588991;0.077997438;;695.4666667;0.12814106;0.045650963;
;;1309.66853;0.00574;0.0337;;1410.074367;0.129595642;0.078078585;;696.5333333;0.12821319;0.045661202;
;;1313.00102;0.0074;0.0338;;1413.406856;0.129703225;0.077963989;;697.6;0.128148843;0.045664208;
;;1316.33351;0.0058;0.0338;;1416.739333;0.128755653;0.077666089;;698.6666667;0.128358615;0.045790635;
;;1319.666;0.00564;0.0338;;1420.071956;0.128963046;0.077686892;;699.7333333;0.127968053;0.045640607;
;;1322.99849;0.00609;0.0339;;1423.437633;0.129024646;0.077806166;;700.8;0.127793949;0.045594091;
;;1326.33098;0.00609;0.034;;1426.770111;0.128865741;0.07768492;;701.8666667;0.128110612;0.045751414;
;;1329.66347;0.00633;0.0342;;1430.1026;0.128942637;0.077789298;;702.9333333;0.127976165;0.045754545;
;;1332.99596;0.0056;0.0343;;1433.435089;0.12882618;0.077797816;;704;0.127974391;0.045744424;
;;1336.32845;0.006;0.0344;;1436.767578;0.129165741;0.077917983;;705.0666667;0.127945681;0.045764292;
;;1339.66094;0.00534;0.0344;;1440.100056;0.129717254;0.078229025;;706.1333333;0.128000314;0.045808018;
;;1342.99343;0.00757;0.0347;;1443.432589;0.129555312;0.078306746;;707.2;0.127947473;0.045803111;
;;1346.32592;0.00607;0.0345;;1446.765156;0.130726642;0.078393471;;708.2666667;0.127973252;0.045841911;
;;1349.65841;0.00569;0.0346;;1450.097567;0.131406809;0.07830066;;709.3333333;0.128035607;0.045863321;
;;1352.9909;0.00562;0.0346;;1453.43;0.131231135;0.078188986;;710.4;0.127920971;0.045829314;
;;1356.32339;0.00602;0.0345;;1456.762478;0.131469282;0.07828209;;711.4666667;0.127838418;0.045818165;
;;1359.65588;0.00237;0.0348;;1460.094967;0.13130332;0.078200712;;712.5333333;0.127898655;0.045901641;
;;1362.98837;0.00752;0.0352;;1463.427467;0.131403703;0.078275001;;713.6;0.127952788;0.045942137;
;;1366.32086;0.0027;0.0349;;1466.759944;0.131257549;0.078316363;;714.6666667;0.127977914;0.045988343;
;;1369.65335;0.00623;0.0346;;1470.092422;0.131389228;0.078324261;;715.7333333;0.128048834;0.046010425;
;;1372.98584;0.00793;0.0348;;1473.424978;0.131647384;0.078350859;;716.8;0.127904513;0.046008634;
;;1376.31833;0.00655;0.0348;;1476.757411;0.129239585;0.078289465;;717.8666667;0.128004732;0.046124233;
;;1379.65082;0.00632;0.0349;;1480.089878;0.129118983;0.078169746;;718.9333333;0.127981209;0.046099506;
;;1382.98331;0.00598;0.035;;1483.422378;0.129145973;0.078180118;;720;0.128002091;0.046178696;
;;1386.3158;0.00706;0.0352;;1486.754856;0.129177602;0.078282677;;721.0666667;0.127950403;0.046201654;
;;1389.64829;0.00676;0.0352;;1490.087367;0.128858659;0.078322206;;722.1333333;0.127960539;0.04620546;
;;1392.98078;0.00604;0.035;;1493.419822;0.129524122;0.078337664;;723.2;0.128030882;0.046241074;
;;1396.31327;0.00788;0.0354;;1496.752311;0.129156112;0.078451663;;724.2666667;0.127957622;0.04627263;
;;1399.64576;0.00623;0.0352;;1500.084789;0.128960646;0.078432556;;725.3333333;0.127766085;0.046203367;
;;1402.97825;0.00603;0.0352;;1503.417289;0.128847412;0.078541432;;726.4;0.127712654;0.046212777;
;;1406.31074;0.00605;0.0352;;1506.749778;0.128684021;0.07841925;;727.4666667;0.127713929;0.046256672;
;;1409.64323;0.00765;0.0353;;1510.115578;0.128545222;0.078525778;;728.5333333;0.127781179;0.046325675;
;;1412.97572;0.00802;0.0354;;1513.448067;0.128698826;0.078550992;;729.6;0.127952262;0.046423564;
;;1416.30821;0.01;0.0357;;1516.780567;0.128731566;0.078533874;;730.6666667;0.127844242;0.046366128;
;;1419.6407;0.00612;0.0354;;1520.113022;0.128408163;0.078524815;;731.7333333;0.12778132;0.046356907;
;;1422.97319;0.00645;0.0353;;1523.445533;0.127822834;0.078727246;;732.8;0.127822304;0.04640625;
;;1426.30568;0.00793;0.0356;;1526.778;0.129010058;0.07867992;;733.8666667;0.127661448;0.046363586;
;;1429.63817;0.00755;0.0357;;1530.110589;0.128673179;0.078656491;;734.9333333;0.127742483;0.046476581;
;;1432.97066;0.00728;0.0355;;1533.442989;0.128670507;0.078658875;;736;0.12772337;0.046493185;
;;1436.30315;0.00763;0.0358;;1536.775467;0.128656208;0.07865053;;737.0666667;0.127808419;0.046556476;
